"","NMDS1","NMDS2","short.date","Key","Year","Site","Transect","Direction","Black","Cabezon","Canary","China","Copper","Greenling","Lingcod","Quillback","Tiger","Widow","Yellowtail","Vermillion","Yelloweye"
"1",-0.2403171916593,-0.0842762031400192,"05","1T1",2005,"1","T1","Forward",41,0,0,2,0,12,1,0,0,0,0,0,0
"2",-0.708318018144783,-0.216392576484443,"06","1T1",2006,"1","T1","Forward",69,0,0,0,0,2,0,0,0,0,0,0,0
"3",0.945315955447726,-0.082424884936382,"06","2T1",2006,"2","T1","Forward",7,0,0,3,0,2,0,0,0,0,0,0,0
"4",0.17813564676734,2.27884710465184,"06","3T1",2006,"3","T1","Forward",0,0,0,1,1,0,0,0,0,0,0,0,0
"5",1.28746787992823,-0.592199284783934,"06","4T1",2006,"4","T1","Forward",6,0,0,0,0,0,0,0,0,0,0,0,0
"6",-1.23096736003232,-0.109502040877647,"07","1T1",2007,"1","T1","Forward",146,0,0,1,0,0,9,0,1,1,6,0,0
"7",-0.183553149356982,-0.492154233071118,"07","2T1",2007,"2","T1","Forward",31,0,0,0,0,0,0,0,1,1,0,0,0
"8",1.1589208672121,-0.352496459082333,"07","3T1",2007,"3","T1","Forward",6,0,0,0,0,2,0,0,0,0,0,0,0
"9",0.80441891671499,-0.338041883629021,"07","4T1",2007,"4","T1","Forward",10,0,0,0,0,2,0,0,0,0,1,0,0
"10",0.388387970951501,-1.84502456252643,"08","1T1",2008,"1","T1","Forward",5,0,0,0,0,0,3,0,2,40,0,0,0
"11",-0.237892411716807,-0.992915915301112,"08","2T1",2008,"2","T1","Forward",25,0,0,0,0,0,7,0,2,30,3,0,0
"12",0.220466886784118,-0.585338621070369,"08","3T1",2008,"3","T1","Forward",19,0,0,0,0,0,4,0,0,0,1,0,0
"13",1.00438989333823,-0.990986066006912,"08","4T1",2008,"4","T1","Forward",5,0,0,0,0,0,4,0,0,0,4,0,0
"14",0.528831187281833,0.0323737111169153,"09","1T1",2009,"1","T1","Forward",12,0,0,5,0,4,0,0,0,0,1,0,0
"15",-0.224502696631929,0.0531334675623884,"09","2T1",2009,"2","T1","Forward",40,0,0,9,1,5,1,0,0,0,5,0,0
"16",-0.0537102566904378,-0.208470306947853,"09","3T1",2009,"3","T1","Forward",31,0,0,2,0,3,0,0,0,0,0,0,0
"17",-0.999321143487186,0.125401344008745,"09","4T1",2009,"4","T1","Forward",130,0,0,6,0,4,0,1,0,0,6,0,1
"18",-0.318812006892255,-0.0231911363715717,"10","1T1",2010,"1","T1","Forward",47,0,0,5,0,5,0,0,0,0,0,0,0
"19",0.634410313241061,0.202361544978484,"10","2T1",2010,"2","T1","Forward",9,1,0,5,0,7,0,0,0,0,0,0,0
"20",-0.85363435838511,0.0414298765062804,"10","3T1",2010,"3","T1","Forward",104,0,0,4,0,4,2,0,0,0,0,0,0
"21",0.234310351986499,0.0760385936792518,"10","4T1",2010,"4","T1","Forward",19,0,0,8,0,6,1,0,0,0,0,0,0
"22",0.693566336117948,0.116928335887822,"10","5T1",2010,"5","T1","Forward",9,0,0,2,0,10,1,0,0,0,0,0,0
"23",0.92718352819533,0.790009205916265,"11","1T1",2011,"1","T1","Forward",2,0,0,8,0,4,0,0,0,0,0,0,0
"24",-0.161544711218061,0.0515947540558765,"11","2T1",2011,"2","T1","Forward",38,0,0,8,0,9,1,0,0,0,1,0,0
"25",-0.0529459479750923,-0.0430230815296372,"11","3T1",2011,"3","T1","Forward",32,0,0,5,0,5,1,0,0,0,0,0,0
"26",-1.07545572371189,0.0176858173058934,"11","4T1",2011,"4","T1","Forward",134,0,1,0,0,7,1,0,0,0,0,0,0
"27",1.02211621165462,0.179426200853358,"11","5T1",2011,"5","T1","Forward",6,0,0,0,0,13,0,0,0,0,1,0,0
"28",0.493338241899212,-0.385940957489487,"12","1T1",2012,"1","T1","Forward",15,0,0,0,0,2,0,0,0,0,1,0,0
"29",0.0937775165140406,0.0027010474645592,"12","2T1",2012,"2","T1","Forward",24,0,0,9,0,5,2,0,2,0,1,0,0
"30",0.611563116686146,-0.148102710115343,"12","3T1",2012,"3","T1","Forward",12,0,0,2,0,3,0,0,0,0,0,0,0
"31",-1.04549669168429,-0.0127117746983352,"12","4T1",2012,"4","T1","Forward",129,0,0,1,0,4,1,0,0,0,5,0,0
"32",-0.178697120412074,-0.0630394531343765,"12","5T1",2012,"5","T1","Forward",38,0,0,3,1,6,2,0,0,0,0,0,0
"33",0.790982135936086,0.253046125619696,"13","1T1",2013,"1","T1","Forward",6,0,0,4,1,6,0,0,0,0,1,0,0
"34",1.06472703983221,-0.0518994528324734,"13","2T1",2013,"2","T1","Forward",6,0,0,2,1,2,0,0,0,0,0,0,0
"35",0.257036616861754,-0.132221961080283,"13","3T1",2013,"3","T1","Forward",20,0,0,1,0,6,0,0,0,0,0,0,0
"36",-0.833427973430337,-0.0403662449643106,"13","4T1",2013,"4","T1","Forward",91,0,1,2,2,2,1,0,0,0,2,0,0
"37",0.632270134009003,0.0945713045727958,"13","5T1",2013,"5","T1","Forward",10,0,0,3,0,7,0,0,0,0,0,0,0
"38",-0.704706288169962,0.097903159801747,"14","1T1",2014,"1","T1","Forward",88,0,1,5,2,7,5,0,1,0,2,0,0
"39",-0.299421103698973,0.0371223092009044,"14","2T1",2014,"2","T1","Forward",45,0,0,6,2,6,1,0,3,0,2,1,0
"40",0.0838503827760653,0.136397597547917,"14","3T1",2014,"3","T1","Forward",23,0,0,7,3,13,4,0,0,0,0,0,1
"41",-0.220945539763366,0.113167626629454,"14","4T1",2014,"4","T1","Forward",37,0,4,4,4,13,4,1,1,0,0,0,0
"42",-0.568431275066943,-0.138201982572327,"14","5T1",2014,"5","T1","Forward",61,3,0,2,0,21,3,0,0,0,0,0,0
"43",0.263990074797355,0.260152015910148,"15","1T1",2015,"1","T1","Forward",16,0,6,7,0,6,1,2,0,0,2,0,1
