"","MDS1","MDS2","short.date","Key","Year","Site","Transect","Direction","Black & Deacon","Cabezon","Canary","China","Copper","Greenling","Lingcod","Quillback","Tiger","Widow","Yellowtail","YOY","Vermillion","Yelloweye"
"1",-0.326324458089942,-0.218528224345264,"05","1T1",2005,"1","T1","Forward",41,0,0,2,0,12,1,0,0,0,0,3,0,0
"2",0.366254035156457,-0.287508498323667,"06","1T1",2006,"1","T1","Forward",69,0,0,0,0,2,0,0,0,0,0,38,0,0
"3",0.60826101407534,0.842371608402072,"06","2T1",2006,"2","T1","Forward",7,0,0,3,0,2,0,0,0,0,0,60,0,0
"4",1.51320523395501,1.30720885239079,"06","3T1",2006,"3","T1","Forward",0,0,0,1,1,0,0,0,0,0,0,50,0,0
"5",-1.50174078904872,0.704529828574143,"06","4T1",2006,"4","T1","Forward",6,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0.0924655301690225,-1.1214274409814,"07","1T1",2007,"1","T1","Forward",146,0,0,1,0,0,9,0,1,1,6,0,0,0
"7",-0.690689018711492,-0.457804959637655,"07","2T1",2007,"2","T1","Forward",31,0,0,0,0,0,0,0,1,1,0,1,0,0
"8",-1.29651607753166,0.718724694826391,"07","3T1",2007,"3","T1","Forward",6,0,0,0,0,2,0,0,0,0,0,0,0,0
"9",-1.1219025785557,0.421979857637758,"07","4T1",2007,"4","T1","Forward",10,0,0,0,0,2,0,0,0,0,1,0,0,0
"10",-1.82822037060732,-0.685798677709203,"08","1T1",2008,"1","T1","Forward",5,0,0,0,0,0,3,0,2,40,0,0,0,0
"11",-0.866381613948303,-0.820773368781249,"08","2T1",2008,"2","T1","Forward",25,0,0,0,0,0,7,0,2,30,3,0,0,0
"12",-0.973464080848271,-0.197667125463747,"08","3T1",2008,"3","T1","Forward",19,0,0,0,0,0,4,0,0,0,1,0,0,0
"13",1.85835025184163,0.521882640548744,"08","4T1",2008,"4","T1","Forward",5,0,0,0,0,0,4,0,0,0,4,348,0,0
"14",-0.716812476471231,0.38340308383349,"09","1T1",2009,"1","T1","Forward",12,0,0,5,0,4,0,0,0,0,1,0,0,0
"15",-0.203700077941688,-0.136273666638655,"09","2T1",2009,"2","T1","Forward",40,0,0,9,1,5,1,0,0,0,5,4,0,0
"16",-0.596870579601852,-0.207220099614307,"09","3T1",2009,"3","T1","Forward",31,0,0,2,0,3,0,0,0,0,0,0,0,0
"17",0.428101702950675,-0.547999241602903,"09","4T1",2009,"4","T1","Forward",130,0,0,6,0,4,0,1,0,0,6,30,0,1
"18",-0.344325514424039,-0.349813532969279,"10","1T1",2010,"1","T1","Forward",47,0,0,5,0,5,0,0,0,0,0,0,0,0
"19",-0.75362259297447,0.523449163104277,"10","2T1",2010,"2","T1","Forward",9,1,0,5,0,7,0,0,0,0,0,0,0,0
"20",-0.0474115949972999,-0.782033355219145,"10","3T1",2010,"3","T1","Forward",104,0,0,4,0,4,2,0,0,0,0,0,0,0
"21",-0.570144964653384,0.175363547649018,"10","4T1",2010,"4","T1","Forward",19,0,0,8,0,6,1,0,0,0,0,0,0,0
"22",-0.850150658105489,0.479808016201359,"10","5T1",2010,"5","T1","Forward",9,0,0,2,0,10,1,0,0,0,0,0,0,0
"23",0.129760432229221,1.07979006270996,"11","1T1",2011,"1","T1","Forward",2,0,0,8,0,4,0,0,0,0,0,20,0,0
"24",-0.375694339374365,-0.152668339118958,"11","2T1",2011,"2","T1","Forward",38,0,0,8,0,9,1,0,0,0,1,0,0,0
"25",-0.481558748645868,-0.12254533589846,"11","3T1",2011,"3","T1","Forward",32,0,0,5,0,5,1,0,0,0,0,0,0,0
"26",0.95330478472683,-0.300712603480232,"11","4T1",2011,"4","T1","Forward",134,0,1,0,0,7,1,0,0,0,0,170,0,0
"27",-1.04667972328961,0.689446017727526,"11","5T1",2011,"5","T1","Forward",6,0,0,0,0,13,0,0,0,0,1,0,0,0
"28",0.849688733946857,0.566171481668046,"12","1T1",2012,"1","T1","Forward",15,0,0,0,0,2,0,0,0,0,1,105,0,0
"29",0.27755311156714,0.296000966642007,"12","2T1",2012,"2","T1","Forward",24,0,0,9,0,5,2,0,2,0,1,50,0,0
"30",-0.906631335014486,0.339787665468804,"12","3T1",2012,"3","T1","Forward",12,0,0,2,0,3,0,0,0,0,0,0,0,0
"31",1.15817900674841,-0.336615700678192,"12","4T1",2012,"4","T1","Forward",129,0,0,1,0,4,1,0,0,0,5,281,0,0
"32",-0.421405981183403,-0.222826985969443,"12","5T1",2012,"5","T1","Forward",38,0,0,3,1,6,2,0,0,0,0,0,0,0
"33",1.65811299401146,0.482631336505375,"13","1T1",2013,"1","T1","Forward",6,0,0,4,1,6,0,0,0,0,1,400,0,0
"34",1.04999356944065,0.743139346473184,"13","2T1",2013,"2","T1","Forward",6,0,0,2,1,2,0,0,0,0,0,120,0,0
"35",-0.725525202413089,0.0715198664196751,"13","3T1",2013,"3","T1","Forward",20,0,0,1,0,6,0,0,0,0,0,0,0,0
"36",1.08976466020059,-0.222207357411673,"13","4T1",2013,"4","T1","Forward",91,0,1,2,2,2,1,0,0,0,2,250,0,0
"37",-0.798917399722828,0.467800952883022,"13","5T1",2013,"5","T1","Forward",10,0,0,3,0,7,0,0,0,0,0,0,0,0
"38",0.0890530815551478,-0.495483322819246,"14","1T1",2014,"1","T1","Forward",88,0,1,5,2,7,5,0,1,0,2,10,0,0
"39",-0.30329142500745,-0.299601222988592,"14","2T1",2014,"2","T1","Forward",45,0,0,6,2,6,1,0,3,0,2,0,1,0
"40",-0.50017203950899,0.0704526588565773,"14","3T1",2014,"3","T1","Forward",23,0,0,7,3,13,4,0,0,0,0,0,0,1
"41",-0.414464945990918,-0.272077538766745,"14","4T1",2014,"4","T1","Forward",37,0,4,4,4,13,4,1,1,0,0,0,0,0
"42",-0.285548357938323,-0.600064160797461,"14","5T1",2014,"5","T1","Forward",61,3,0,2,0,21,3,0,0,0,0,0,0,0
"43",0.929286994492603,0.391333817363002,"15","1T1",2015,"1","T1","Forward",16,0,6,7,0,6,1,2,0,0,2,160,0,1
"44",-0.283714837868907,0.604677397724167,"15","2T1",2015,"2","T1","Forward",10,1,0,7,1,8,1,5,0,0,0,10,1,0
"45",-0.741941602472678,0.531516700510885,"15","3T1",2015,"3","T1","Forward",9,1,0,4,1,8,0,0,0,0,0,0,0,0
"46",0.539848439853589,0.541021347355393,"15","4T1",2015,"4","T1","Forward",14,0,7,4,0,6,1,0,0,0,16,65,0,0
"47",-0.285548357938323,-0.600064160797461,"15","5T1",2015,"5","T1","Forward",61,3,0,2,0,21,3,0,0,0,0,0,0,0
