record no,CRUISE_ID,DATE_UTC,TIME_UTC,DATE_LOCAL,TIME_LOCAL,LATITUDE_DEG,LONGITUDE_DEG,LATITUDE_DEC,LONGITUDE_DEC,STATION_NO,NISKIN_NO,NISKIN_NO_FLAG_W,CTDPRS_DBAR,DEPTH (M),CTDTMP_DEG_C_ITS90,CTDTMP2_DEC_C_ITS90,CTDTMP_FLAG_W,CTD/TEMP_COMMENTS,CTDSAL_PSS78,CTDSAL2_PSS78,CTDSAL_FLAG_W,CTD/SAL_COMMENTS,SIGMATHETA_KG_M3,SIGMATHETA2_KG_M3,CTDOXY_MG_L_1,CTDOXY_MG_L_2,CTDOXY_MG_L_AVG,CTDOXY_FLAG_W,CTD/O2_COMMENTS,OXYGEN_MG_L_1,OXYGEN_MG_L_2,OXYGEN_MG_L_3,OXYGEN_avg_mg_L,OXYGEN_UMOL_KG,OXYGEN_FLAG_W,OXYGEN COMMENTS,CTD_PH_NBS,SALINITY_PSS78_1,SALINITY_PSS78_2,SALINITY_FLAG_W,Nutrient lab temperature,NITRATE_UMOL_L,NITRITE_UMOL_L,AMMONIUM_UMOL_L,PHOSPHATE_UMOL_L,SILICATE_UMOL_L,NUTRIENTS_FLAG_W,CTD FLU (mg/m3),CHLA (ug/l),CHLA 2 (ug/l),CHLA avg (ug/l),CHLA_FLAG_W,PHAEOPIGMENT (ug/l),PHAEOPIGMENT 2 (ug/l),PHAEOPIGMENT avg (ug/l),PHAEOPIGMENT_FLAG_W,TA_UMOL_KG,TA_FLAG_W,DIC_UMOL_KG,DIC_FLAG_W,SECCHI DEPTH (m)
1,  RBTSN201805,5/23/2018,18:50:23,05/23/2018,11:50:23,  48 27.90 N,  124 46.97 W,47.9645,-124.9512,381,1,,95.655,94.838,7.7332,,2,,33.9002,,2,,26.4505,,3.5405,,3.541,2,,,,,,,9,"didn't add H2SO4, overshot",,,,,,29.33,0.11,0.13,2.09,40.54,2,0.0211,,,,,,,,,2252.3,2,2217.6,2,
2,  RBTSN201805,5/23/2018,18:50:26,05/23/2018,11:50:26,  48 27.90 N,  124 46.97 W,47.9645,-124.9512,381,2,,95.689,94.872,7.7327,,2,,33.8999,,2,,26.4503,,3.5368,,3.537,2,,3.849,,,3.849,117.2,2,,,,,,,29.34,0.09,0.01,2.14,39.46,2,0.0151,,,,,,,,,2255,2,2216,2,
3,  RBTSN201805,5/23/2018,18:51:46,05/23/2018,11:51:46,  48 27.90 N,  124 46.97 W,47.9645,-124.9512,381,3,,61.09,60.573,8.7132,,2,,33.4464,,2,,25.9474,,4.6621,,4.662,2,,5.564,,,5.564,169.5,2,,,,,,,22.8,0.05,0.14,1.75,27.55,2,0.0475,,,,,,,,,2218,2,2158.5,2,
4,  RBTSN201805,5/23/2018,18:51:49,05/23/2018,11:51:49,  48 27.90 N,  124 46.97 W,47.9645,-124.9512,381,4,,59.702,59.197,8.7405,,2,,33.3782,,2,,25.8897,,4.7479,,4.748,2,,5.126,,,5.126,156.2,2,overshot,,,,,,22.89,0.05,0.26,1.74,27.83,2,0.0644,,,,,,,,,2220,2,2158.8,2,
5,  RBTSN201805,5/23/2018,18:52:55,05/23/2018,11:52:55,  48 27.90 N,  124 46.97 W,47.9645,-124.9512,381,5,,30.61,30.353,8.8046,,2,,32.3164,,2,,25.0478,,5.2982,,5.298,2,,5.908,,,5.908,180.1,2,,,,,,,22.59,0.3,1.69,1.92,33.29,2,0.1549,,,,,,,,,2170.2,2,2117.2,2,
6,  RBTSN201805,5/23/2018,18:52:58,05/23/2018,11:52:58,  48 27.90 N,  124 46.97 W,47.9645,-124.9512,381,6,,29.425,29.178,8.8482,,2,,32.2479,,2,,24.9875,,5.4038,,5.404,2,,6.489,,,6.489,197.9,2,,,,,,,23.03,0.3,1.52,1.92,33.97,2,0.2259,,,,,,,,,2174.8,2,2123,2,
7,  RBTSN201805,5/23/2018,18:53:42,05/23/2018,11:53:42,  48 27.90 N,  124 46.97 W,47.9645,-124.9512,381,7,,11.351,11.257,10.009,,2,,31.4445,,2,,24.1757,,8.8689,,8.869,2,,9.869,,,9.869,301.1,2,,,,,,,11.94,0.49,1.25,0.8,8.93,2,2.9824,,,,,,,,,2147.1,2,2035.7,2,
8,  RBTSN201805,5/23/2018,18:53:46,05/23/2018,11:53:46,  48 27.90 N,  124 46.97 W,47.9645,-124.9512,381,8,,10.857,10.767,9.8174,,2,,31.4923,,2,,24.2442,,9.8034,,9.803,2,,11.160,,,11.160,340.5,2,,,,,,,4.43,0.14,0.19,0.36,4.1,2,3.0798,,,,,,,,,2147.1,2,1935.5,2,
9,  RBTSN201805,5/23/2018,18:54:10,05/23/2018,11:54:10,  48 23.81 N,  124 26.00 W,47.9645,-124.9512,381,9,,6.12,6.069,11.7336,,2,,31.4285,,2,,23.8655,,12.6515,,12.652,2,,13.078,,,13.078,399.2,2,,,,,,,0.28,0.02,0.21,0.06,1.91,2,3.0085,,,,,,,,,2146.3,2,1839.9,2,
10,  RBTSN201805,5/23/2018,18:54:13,05/23/2018,11:54:13,  48 23.81 N,  124 26.00 W,47.9645,-124.9512,381,10,,6.536,6.481,11.7322,,2,,31.4295,,2,,23.8666,,12.6763,,12.676,2,,13.070,,,13.070,398.9,2,,,,,,,0.14,0.01,0.16,0.04,2.27,2,3.0105,,,,,,,,,2145.5,2,1840.5,2,
